,experiment_code,enzyme_code,0.0001,0.001,0.01,0.1,1,10,100,1000,10000
64,C0.22,GAPD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,C0.22,PGK,0.9999379999999999,0.9999379999999999,0.9999379999999999,0.9999379999999999,0.9999389999999999,0.9999459999999999,0.999956,0.999956,0.999956
66,C0.22,GPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,C0.22,ENO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,C0.22,PYK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69,C0.22,G6PDH2r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,C0.22,PGL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,C0.22,GND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,C0.22,RPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,C0.22,RKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,C0.22,TKL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,C0.22,TKL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,C0.22,TAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,C0.22,pyr_c_EX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,C0.22,dhap_c_EX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,C0.22,r5p_c_EX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,C0.30,PGI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,C0.30,PFK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82,C0.30,FBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,C0.30,TPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,C0.30,GAPD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,C0.30,PGK,0.999813,0.999813,0.999813,0.999813,0.999813,0.999822,0.9998520000000001,0.9998540000000001,0.9998540000000001
86,C0.30,GPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,C0.30,ENO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,C0.30,PYK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
89,C0.30,G6PDH2r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,C0.30,PGL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,C0.30,GND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,C0.30,RPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,C0.30,RKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,C0.30,TKL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,C0.30,TKL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,C0.30,TAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,C0.30,pyr_c_EX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,C0.30,dhap_c_EX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,C0.30,r5p_c_EX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,C0.05,PGI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,C0.05,PFK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
102,C0.05,FBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,C0.05,TPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,C0.05,GAPD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,C0.05,PGK,0.9999959999999999,0.9999959999999999,0.9999959999999999,0.9999959999999999,0.9999959999999999,0.9999959999999999,0.9999969999999999,0.9999969999999999,0.9999969999999999
106,C0.05,GPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,C0.05,ENO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,C0.05,PYK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
109,C0.05,G6PDH2r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,C0.05,PGL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,C0.05,GND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,C0.05,RPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,C0.05,RKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,C0.05,TKL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,C0.05,TKL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,C0.05,TAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,C0.05,pyr_c_EX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,C0.05,dhap_c_EX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,C0.05,r5p_c_EX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,C0.11,PGI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,C0.11,PFK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
122,C0.11,FBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,C0.11,TPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,C0.11,GAPD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,C0.11,PGK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
126,C0.11,GPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,C0.11,ENO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,C0.11,PYK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
129,C0.11,G6PDH2r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,C0.11,PGL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,C0.11,GND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,C0.11,RPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,C0.11,RKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,C0.11,TKL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,C0.11,TKL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,C0.11,TAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,C0.11,pyr_c_EX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,C0.11,dhap_c_EX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,C0.11,r5p_c_EX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,C0.16,PGI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,C0.16,PFK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
142,C0.16,FBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,C0.16,TPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,C0.16,GAPD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,C0.16,PGK,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999
146,C0.16,GPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,C0.16,ENO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,C0.16,PYK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
149,C0.16,G6PDH2r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,C0.16,PGL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,C0.16,GND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,C0.16,RPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,C0.16,RKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,C0.16,TKL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,C0.16,TKL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,C0.16,TAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,C0.16,pyr_c_EX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,C0.16,dhap_c_EX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,C0.16,r5p_c_EX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
