,experiment_code,metabolite_code,0.0001,0.001,0.01,0.1,1,10,100,1000,10000
40,C0.11,pi_c,38.2929,38.2929,38.2929,38.2929,38.2929,38.2929,38.2929,38.2929,38.2929
41,C0.11,6pgl_c,19.9857,19.9858,19.9866,19.9951,20.0797,20.8939,26.8325,38.6758,39.4421
42,C0.11,6pgc_c,3.301,3.301,3.301,3.30105,3.30146,3.30692,3.41509,4.16409,4.569380000000001
43,C0.11,ru5p-D_c,0.9935930000000001,0.9935930000000001,0.9935940000000001,0.993606,0.9937799999999999,0.996201,1.02205,1.21421,1.3307200000000001
44,C0.11,r5p_c,0.71742,0.71742,0.717421,0.717428,0.71751,0.718985,0.736427,0.852356,0.956442
45,C0.11,e4p_c,0.0114083,0.0114083,0.0114082,0.0113993,0.0112087,0.010406,0.0105532,0.0112223,0.0153636
46,C0.11,xu5p-D_c,3.8781800000000004,3.8781800000000004,3.87819,3.8782400000000004,3.87906,3.88869,3.98955,4.74068,5.19687
47,C0.11,s7p_c,6.2755,6.2755,6.27551,6.27564,6.27736,6.294630000000001,6.45838,8.16757,14.1103
48,C0.16,atp_c,9.662230000000001,9.662230000000001,9.662230000000001,9.662230000000001,9.662230000000001,9.662230000000001,9.662230000000001,9.662230000000001,9.662230000000001
49,C0.16,adp_c,3.32821,3.32821,3.32821,3.32821,3.32821,3.32821,3.32821,3.32821,3.32821
50,C0.16,nad_c,8.5195,8.5195,8.5195,8.5195,8.5195,8.5195,8.5195,8.5195,8.5195
51,C0.16,nadh_c,0.0524613,0.0524613,0.0524613,0.0524613,0.0524613,0.0524613,0.0524613,0.0524613,0.0524613
52,C0.16,nadp_c,0.0122442,0.0122442,0.0122442,0.0122442,0.0122442,0.0122442,0.0122442,0.0122442,0.0122442
53,C0.16,nadph_c,0.0514771,0.0514771,0.0514771,0.0514771,0.0514771,0.0514771,0.0514771,0.0514771,0.0514771
54,C0.16,3pg_c,17.6065,17.6065,17.6065,17.6065,17.6147,18.2343,22.345,23.4799,23.4549
55,C0.16,2pg_c,1.09105,1.09105,1.09105,1.09105,1.09153,1.12957,1.3828799999999999,1.45278,1.45125
56,C0.16,g6p_c,20.1138,20.1138,20.1138,20.1138,20.1138,20.1138,20.1138,20.1138,20.1138
57,C0.16,f6p_c,3.52966,3.5541300000000002,3.7865599999999997,5.30548,7.03602,7.046689999999999,7.047739999999999,7.048019999999999,7.04812
58,C0.16,fdp_c,1.55639,1.55639,1.55644,1.55941,1.61039,1.81685,1.96045,1.99364,1.9921400000000002
59,C0.16,g3p_c,0.122232,0.122232,0.122233,0.122261,0.123839,0.131475,0.137625,0.139079,0.139013
