,experiment_code,enzyme_code,dG_0,0.0001,0.001,0.01,0.1,1,10,100,1000,10000
13300,C0.30,r5p_c_EX,-108.715,-116.31457325503469,-116.31457325503469,-116.31457325503469,-116.31457325503469,-116.31457325503469,-116.31953708235984,-116.43096762317974,-116.44237457704406,-116.44234165277143
13400,C0.30,r5p_c_EX,-108.715,-116.64372965760185,-116.64372965760185,-116.64372965760185,-116.64372965760185,-116.64372965760185,-116.64667238058585,-116.74355484426715,-116.75543220148307,-116.75539351074127
13500,C0.30,r5p_c_EX,-108.715,-116.58175479943455,-116.58175479943455,-116.58175479943455,-116.58175479943455,-116.58175479943455,-116.58600474958826,-116.69423891607903,-116.70359032888956,-116.70353106598596
13600,C0.30,r5p_c_EX,-108.715,-116.98392811950944,-116.98392811950944,-116.98392811950944,-116.98392811950944,-116.98392811950944,-116.98995425364166,-117.10909296111862,-117.11567601302583,-117.11561746242613
13700,C0.30,r5p_c_EX,-108.715,-116.7212761140921,-116.7212761140921,-116.7212761140921,-116.7212761140921,-116.72130553435666,-116.76230955053045,-116.9425679984025,-116.9433571684915,-116.9433302691019
13800,C0.30,r5p_c_EX,-108.715,-116.97350645400901,-116.97350645400901,-116.97350645400901,-116.97350645400901,-116.97352416998314,-116.99293546946585,-117.11926169133157,-117.12169098558475,-117.12167429752677
13900,C0.30,r5p_c_EX,-108.715,-116.21359571721959,-116.21359571721959,-116.21359571721959,-116.21359571721959,-116.21360775298041,-116.23467677554342,-116.36101551895581,-116.36199064186643,-116.36194529581735
14000,C0.30,r5p_c_EX,-108.715,-115.5976105177194,-115.5976105177194,-115.5976105177194,-115.5976105177194,-115.5976105177194,-115.60400616134746,-115.69188426184176,-115.69901935201129,-115.69898972675688
14100,C0.30,r5p_c_EX,-108.715,-114.94964917485301,-114.94964917485301,-114.94964917485301,-114.94964917485301,-114.94964917485301,-114.95956966474408,-115.10327360024253,-115.11737976918099,-115.11732357903104
14200,C0.30,r5p_c_EX,-108.715,-117.72157679421069,-117.72157679421069,-117.72157679421069,-117.72157679421069,-117.7215964455693,-117.75122313239075,-117.94408827491111,-117.94489054956192,-117.94483068728418
14300,C0.30,r5p_c_EX,-108.715,-117.61212127055903,-117.61212127055903,-117.61212127055903,-117.61212127055903,-117.61214865522736,-117.64720508030956,-117.84505096693034,-117.84602922639402,-117.84598561795192
14400,C0.30,r5p_c_EX,-108.715,-116.94949156571576,-116.94949156571576,-116.94949156571576,-116.94949156571576,-116.94949156571576,-116.96339658211605,-117.18181699099634,-117.18782814540953,-117.18770627762856
14500,C0.30,r5p_c_EX,-108.715,-116.53759320770986,-116.53759320770986,-116.53759320770986,-116.53759320770986,-116.53759320770986,-116.5458066893151,-116.66909791073648,-116.6748600963328,-116.67485010413647
14600,C0.30,r5p_c_EX,-108.715,-117.79386469667554,-117.79386469667554,-117.79386469667554,-117.79386469667554,-117.79387105887812,-117.8060817962514,-117.93314787339517,-117.93655579678145,-117.93652576501378
14700,C0.30,r5p_c_EX,-108.715,-115.17883222161157,-115.17883222161157,-115.17883222161157,-115.17883222161157,-115.17883222161157,-115.18571091641374,-115.34929756206257,-115.36810805916296,-115.36804034620327
14800,C0.30,r5p_c_EX,-108.715,-118.07405924450832,-118.07405924450832,-118.07405924450832,-118.07405924450832,-118.07407060890431,-118.0835587224613,-118.26054343847042,-118.26886199313039,-118.2687937063199
14900,C0.30,r5p_c_EX,-108.715,-115.54074782416284,-115.54074782416284,-115.54074782416284,-115.54074782416284,-115.54074782416284,-115.54606306820342,-115.66125745506871,-115.67176310373291,-115.67171817439258
15000,C0.30,r5p_c_EX,-108.715,-117.64452388473083,-117.64452388473083,-117.64452388473083,-117.64452388473083,-117.64452388473083,-117.64861542694142,-117.78357476055635,-117.80846108410897,-117.80835355920276
15100,C0.30,r5p_c_EX,-108.715,-116.14199359586189,-116.14199359586189,-116.14199359586189,-116.14199359586189,-116.14199359586189,-116.15105778896556,-116.2268237994975,-116.22835570783516,-116.2283317790466
15200,C0.30,r5p_c_EX,-108.715,-116.75508396306437,-116.75508396306437,-116.75508396306437,-116.75508396306437,-116.75508396306437,-116.76061130618774,-116.83673657799758,-116.84170202604578,-116.84166465869748
15300,C0.30,r5p_c_EX,-108.715,-116.44530308727605,-116.44530308727605,-116.44530308727605,-116.44530308727605,-116.44530308727605,-116.45200260243523,-116.54505921831768,-116.55401402853289,-116.55398255419605
15400,C0.30,r5p_c_EX,-108.715,-116.8178030491822,-116.8178030491822,-116.8178030491822,-116.8178030491822,-116.8178030491822,-116.82091374524046,-116.90933027242845,-116.91637436257236,-116.9163471687725
15500,C0.30,r5p_c_EX,-108.715,-117.4159760765941,-117.4159760765941,-117.4159760765941,-117.4159760765941,-117.4159760765941,-117.41622800190558,-117.46302448918284,-117.49874817279616,-117.49867650577
15600,C0.30,r5p_c_EX,-108.715,-115.36176888510927,-115.36176888510927,-115.36176888510927,-115.36176888510927,-115.36176888510927,-115.36724458034269,-115.44367897410787,-115.45238254640842,-115.45230073422711
15700,C0.30,r5p_c_EX,-108.715,-116.83758823702942,-116.83758823702942,-116.83758823702942,-116.83758823702942,-116.83758823702942,-116.84182346603758,-116.93378049511776,-116.95228953706666,-116.95223593151252
15800,C0.30,r5p_c_EX,-108.715,-116.27264448658161,-116.27264448658161,-116.27264448658161,-116.27264448658161,-116.27264448658161,-116.27430103113055,-116.33013557994717,-116.3437171803612,-116.34369433968081
15900,C0.30,r5p_c_EX,-108.715,-118.26828412226332,-118.26828412226332,-118.26828412226332,-118.26828412226332,-118.26828937624167,-118.27520969732065,-118.4090224246636,-118.41714508490912,-118.41709560688943
16000,C0.30,r5p_c_EX,-108.715,-116.65315224462228,-116.65315224462228,-116.65315224462228,-116.65315224462228,-116.65315224462228,-116.65917280637598,-116.77234977047112,-116.77693758252548,-116.77690881518848
16100,C0.30,r5p_c_EX,-108.715,-117.59046827440729,-117.59046827440729,-117.59046827440729,-117.59046827440729,-117.59047518066754,-117.60014576189243,-117.74531307895467,-117.74872344783813,-117.74871048953825
16200,C0.30,r5p_c_EX,-108.715,-115.95681389884884,-115.95681389884884,-115.95681389884884,-115.95681389884884,-115.95681389884884,-115.96526303344248,-116.09793481751083,-116.10576627874876,-116.10572856574603
16300,C0.30,r5p_c_EX,-108.715,-116.0455811337155,-116.0455811337155,-116.0455811337155,-116.0455811337155,-116.0455811337155,-116.05440100766053,-116.18788680394294,-116.19587602983523,-116.19581541841724
16400,C0.30,r5p_c_EX,-108.715,-116.71633837246806,-116.71633837246806,-116.71633837246806,-116.71633837246806,-116.71633837246806,-116.72477467628327,-116.8632622060688,-116.87226591834448,-116.87224746369641
16500,C0.30,r5p_c_EX,-108.715,-117.2664700465247,-117.2664700465247,-117.2664700465247,-117.2664700465247,-117.2664700465247,-117.270268642153,-117.3545409874684,-117.363995007647,-117.36384366357814
16600,C0.30,r5p_c_EX,-108.715,-115.58171191417878,-115.58171191417878,-115.58171191417878,-115.58171191417878,-115.58172744450773,-115.60742068274935,-115.74365989711255,-115.74528875690257,-115.7452451406777
16700,C0.30,r5p_c_EX,-108.715,-116.44049719521092,-116.44049719521092,-116.44049719521092,-116.44049719521092,-116.44050817818629,-116.46171316236199,-116.6003900214609,-116.60287033822036,-116.60282919138483
16800,C0.30,r5p_c_EX,-108.715,-116.01253101935563,-116.01253101935563,-116.01253101935563,-116.01253101935563,-116.01253101935563,-116.01311832292205,-116.09813658024336,-116.17735713574305,-116.17732049636061
16900,C0.30,r5p_c_EX,-108.715,-116.81950970218608,-116.81950970218608,-116.81950970218608,-116.81950970218608,-116.81950970218608,-116.8222510868389,-116.95552159585365,-116.99436763997525,-116.99423587970712
17000,C0.30,r5p_c_EX,-108.715,-116.6815358647895,-116.6815358647895,-116.6815358647895,-116.6815358647895,-116.6815358647895,-116.68747802232967,-116.88648124244898,-116.90638324928194,-116.90631043893677
17100,C0.30,r5p_c_EX,-108.715,-116.07738271271691,-116.07738271271691,-116.07738271271691,-116.07738271271691,-116.07738271271691,-116.07908602780734,-116.13566738460176,-116.151711897704,-116.1516995576272
17200,C0.30,r5p_c_EX,-108.715,-116.47700903494825,-116.47700903494825,-116.47700903494825,-116.47700903494825,-116.47700903494825,-116.48034009833724,-116.57351404031279,-116.59313036851799,-116.59303742267723
17300,C0.30,r5p_c_EX,-108.715,-116.38491984817996,-116.38491984817996,-116.38491984817996,-116.38491984817996,-116.38491984817996,-116.38621119517258,-116.48246833629905,-116.52106288211743,-116.52106288211743
17400,C0.30,r5p_c_EX,-108.715,-117.46375144545604,-117.46375144545604,-117.46375144545604,-117.46375144545604,-117.46375144545604,-117.47085710977878,-117.62706249294095,-117.64206977218947,-117.64196831028785
17500,C0.30,r5p_c_EX,-108.715,-115.89817581726044,-115.89817581726044,-115.89817581726044,-115.89817581726044,-115.8981894862262,-115.90822945734425,-116.05622278210774,-116.06542662203337,-116.0653755128881
17600,C0.30,r5p_c_EX,-108.715,-116.65494584719076,-116.65494584719076,-116.65494584719076,-116.65494584719076,-116.6549659926575,-116.68806449803994,-116.82739594510716,-116.82829778138283,-116.82827899647324
17700,C0.30,r5p_c_EX,-108.715,-116.4703768550656,-116.4703768550656,-116.4703768550656,-116.4703768550656,-116.47044196264322,-116.5236025743504,-116.65546957612325,-116.65560049106847,-116.65557028054094
17800,C0.30,r5p_c_EX,-108.715,-115.6098940406963,-115.6098940406963,-115.6098940406963,-115.6098940406963,-115.60990939545871,-115.63364130104326,-115.73653561379543,-115.73744003143989,-115.73741086182721
17900,C0.30,r5p_c_EX,-108.715,-116.66198678005756,-116.66198678005756,-116.66198678005756,-116.66198678005756,-116.66198678005756,-116.67526974170599,-116.8607697803392,-116.86931142562284,-116.86925599523788
18000,C0.30,r5p_c_EX,-108.715,-116.78440578531239,-116.78440578531239,-116.78440578531239,-116.78440578531239,-116.78440578531239,-116.79138446611195,-116.9805827589727,-116.99306729887289,-116.99303214504985
18100,C0.30,r5p_c_EX,-108.715,-115.81669620267687,-115.81669620267687,-115.81669620267687,-115.81669620267687,-115.81669620267687,-115.82234008234775,-115.96409200274702,-115.97849178369724,-115.97845208373862
18200,C0.30,r5p_c_EX,-108.715,-117.7029626740175,-117.7029626740175,-117.7029626740175,-117.7029626740175,-117.7029626740175,-117.70917195240854,-117.88453356383867,-117.89939382754636,-117.89930846750217
18300,C0.30,r5p_c_EX,-108.715,-115.94408595191575,-115.94408595191575,-115.94408595191575,-115.94408595191575,-115.94408595191575,-115.95106697914973,-116.08001346093648,-116.08634376236223,-116.08630575270041
18400,C0.30,r5p_c_EX,-108.715,-116.7371416897015,-116.7371416897015,-116.7371416897015,-116.7371416897015,-116.73715143392775,-116.74753646262671,-116.85212418054468,-116.86019496235603,-116.8601578727472
18500,C0.30,r5p_c_EX,-108.715,-116.77366555561528,-116.77366555561528,-116.77366555561528,-116.77366555561528,-116.77366555561528,-116.78027233013508,-116.92657814502101,-116.93771086799684,-116.93765694624021
18600,C0.30,r5p_c_EX,-108.715,-116.32738961496717,-116.32738961496717,-116.32738961496717,-116.32738961496717,-116.32740111069991,-116.34086046298552,-116.49928934914689,-116.50457142435329,-116.50450720707371
18700,C0.30,r5p_c_EX,-108.715,-118.18522970328283,-118.18522970328283,-118.18522970328283,-118.18522970328283,-118.18522970328283,-118.18754851123849,-118.24986897647575,-118.25742666378383,-118.25741083259132
18800,C0.30,r5p_c_EX,-108.715,-118.21818896736684,-118.21818896736684,-118.21818896736684,-118.21818896736684,-118.21820505104462,-118.23577564575767,-118.41547218015582,-118.4200477155648,-118.41995381650274
18900,C0.30,r5p_c_EX,-108.715,-115.32611140037442,-115.32611140037442,-115.32611140037442,-115.32611140037442,-115.32611140037442,-115.33573435753529,-115.49113454275938,-115.49864575599247,-115.49858151666211
19000,C0.30,r5p_c_EX,-108.715,-115.26115055547126,-115.26115055547126,-115.26115055547126,-115.26115055547126,-115.26115055547126,-115.2703066462104,-115.42480673841199,-115.43290066000759,-115.43283469405478
19100,C0.30,r5p_c_EX,-108.715,-115.0267772383757,-115.0267772383757,-115.0267772383757,-115.0267772383757,-115.0267772383757,-115.03447781996668,-115.18780539824516,-115.20182011447798,-115.20178390910301
19200,C0.30,r5p_c_EX,-108.715,-118.47869642397153,-118.47869642397153,-118.47869642397153,-118.47869642397153,-118.478701250375,-118.48996456901318,-118.65255646881634,-118.66017588327756,-118.66014896904133
19300,C0.30,r5p_c_EX,-108.715,-115.89520786742135,-115.89520786742135,-115.89520786742135,-115.89520786742135,-115.89520786742135,-115.90605031149751,-116.06279312977377,-116.07027719186853,-116.07013691395657
19400,C0.30,r5p_c_EX,-108.715,-117.08279642855344,-117.08279642855344,-117.08279642855344,-117.08279642855344,-117.08279642855344,-117.09246556483312,-117.26648578770718,-117.2774801625459,-117.27737045982825
19500,C0.30,r5p_c_EX,-108.715,-116.4654345418254,-116.4654345418254,-116.4654345418254,-116.4654345418254,-116.4654345418254,-116.46793408561372,-116.61312543270397,-116.64638938383193,-116.64634895308667
19600,C0.30,r5p_c_EX,-108.715,-116.94336613488983,-116.94336613488983,-116.94336613488983,-116.94336613488983,-116.94336613488983,-116.94594710880277,-117.10308093138553,-117.14289393547962,-117.14281120476288
19700,C0.30,r5p_c_EX,-108.715,-117.53110114541212,-117.53110114541212,-117.53110114541212,-117.53110114541212,-117.53110114541212,-117.5341409588599,-117.69164452529363,-117.72152438982607,-117.72143923033812
19800,C0.30,r5p_c_EX,-108.715,-118.15236038240843,-118.15236038240843,-118.15236038240843,-118.15236038240843,-118.15236038240843,-118.15885938726069,-118.35845319853976,-118.38297400035933,-118.38288370296085
19900,C0.30,r5p_c_EX,-108.715,-116.13977505816565,-116.13977505816565,-116.13977505816565,-116.13977505816565,-116.13978745774796,-116.15842811600022,-116.27700082253276,-116.27845514317896,-116.278419968072
20000,C0.30,r5p_c_EX,-108.715,-115.89308572546744,-115.89308572546744,-115.89308572546744,-115.89308572546744,-115.8930994225303,-115.90776654911511,-116.02221028029265,-116.02595199279222,-116.02592602814296
