,experiment_code,enzyme_code,dG_0,0.0001,0.001,0.01,0.1,1,10,100,1000,10000
3100,C0.30,r5p_c_EX,-108.715,-115.6444461079782,-115.6444461079782,-115.6444461079782,-115.6444461079782,-115.6444461079782,-115.65011796351537,-115.76629502667633,-115.77534610189036,-115.77530301135248
3200,C0.30,r5p_c_EX,-108.715,-117.8106169227072,-117.8106169227072,-117.8106169227072,-117.8106169227072,-117.81062324205809,-117.81828307717232,-117.99763217399997,-118.01224521125629,-118.01220443109649
3300,C0.30,r5p_c_EX,-108.715,-115.366008096829,-115.366008096829,-115.366008096829,-115.366008096829,-115.366008096829,-115.37573085835365,-115.4767240781781,-115.48060957837278,-115.48057722435695
3400,C0.30,r5p_c_EX,-108.715,-117.81716775364508,-117.81716775364508,-117.81716775364508,-117.81716775364508,-117.81716775364508,-117.82132403648536,-117.9147897215575,-117.92102294645821,-117.92100481417505
3500,C0.30,r5p_c_EX,-108.715,-116.62883108242266,-116.62883108242266,-116.62883108242266,-116.62883108242266,-116.62884126185534,-116.64177602613601,-116.7489139724153,-116.75551925344415,-116.75546121914311
3600,C0.30,r5p_c_EX,-108.715,-116.31944482277102,-116.31944482277102,-116.31944482277102,-116.31944482277102,-116.31946788799014,-116.35348509602152,-116.52501474979654,-116.52550298419463,-116.52546053284684
3700,C0.30,r5p_c_EX,-108.715,-116.02029826850865,-116.02029826850865,-116.02029826850865,-116.02029826850865,-116.02031128037504,-116.04444744688247,-116.20705165268784,-116.2081254370516,-116.20808924964732
3800,C0.30,r5p_c_EX,-108.715,-117.51714803958049,-117.51714803958049,-117.51714803958049,-117.51714803958049,-117.51714803958049,-117.5270587855803,-117.68778946617763,-117.69571204110515,-117.69568556421831
3900,C0.30,r5p_c_EX,-108.715,-116.43583602365067,-116.43583602365067,-116.43583602365067,-116.43583602365067,-116.43583602365067,-116.44567575796756,-116.5877544397645,-116.59334722859424,-116.59327494401015
4000,C0.30,r5p_c_EX,-108.715,-115.69532828315982,-115.69532828315982,-115.69532828315982,-115.69532828315982,-115.69532828315982,-115.70740386529638,-115.90344644524166,-115.9119975803315,-115.91192961441016
4100,C0.30,r5p_c_EX,-108.715,-117.01905845258788,-117.01905845258788,-117.01905845258788,-117.01905845258788,-117.01905845258788,-117.0222654690001,-117.15198574153857,-117.17929105067252,-117.17922583103416
4200,C0.30,r5p_c_EX,-108.715,-116.39544435010038,-116.39544435010038,-116.39544435010038,-116.39544435010038,-116.39548908746531,-116.44521539191142,-116.57425298128398,-116.5743778509572,-116.5743362284317
4300,C0.30,r5p_c_EX,-108.715,-117.37124113289318,-117.37124113289318,-117.37124113289318,-117.37124113289318,-117.37135430358232,-117.43162822820733,-117.56633113234668,-117.5663729750764,-117.56635205379983
4400,C0.30,r5p_c_EX,-108.715,-117.34956068150593,-117.34956068150593,-117.34956068150593,-117.34956068150593,-117.349682457138,-117.41142219020387,-117.54585526694775,-117.54589042515849,-117.54587636193403
4500,C0.30,r5p_c_EX,-108.715,-117.4017303563324,-117.4017303563324,-117.4017303563324,-117.4017303563324,-117.40186450043707,-117.46670070000584,-117.59951277997433,-117.59951966108154,-117.59950589884801
4600,C0.30,r5p_c_EX,-108.715,-117.37093931912634,-117.37093931912634,-117.37093931912634,-117.37093931912634,-117.3710675944674,-117.43580705989666,-117.56907034024404,-117.56908427249486,-117.56907034024404
4700,C0.30,r5p_c_EX,-108.715,-117.33250642008862,-117.33250642008862,-117.33250642008862,-117.33250642008862,-117.33264436301727,-117.39713526633007,-117.53175890944314,-117.53179426815701,-117.53178012473198
4800,C0.30,r5p_c_EX,-108.715,-117.2977464933932,-117.2977464933932,-117.2977464933932,-117.2977464933932,-117.29787084119872,-117.35959469332577,-117.49600901911528,-117.49608793760818,-117.49607358897816
4900,C0.30,r5p_c_EX,-108.715,-116.5086458184435,-116.5086458184435,-116.5086458184435,-116.5086458184435,-116.50865650358429,-116.53302660463748,-116.66626192215384,-116.66788574729016,-116.66783564513615
5000,C0.30,r5p_c_EX,-108.715,-114.64729332862468,-114.64729332862468,-114.64729332862468,-114.64729332862468,-114.64729332862468,-114.6768216481905,-114.81972355046102,-114.82215110611645,-114.82215110611645
5100,C0.30,r5p_c_EX,-108.715,-116.48216595699958,-116.48216595699958,-116.48216595699958,-116.48216595699958,-116.48216595699958,-116.49329724342874,-116.66213743853609,-116.67270084610915,-116.67265084118496
5200,C0.30,r5p_c_EX,-108.715,-117.08927206996286,-117.08927206996286,-117.08927206996286,-117.08927206996286,-117.08927206996286,-117.09312402820069,-117.26658023270298,-117.29514152762579,-117.29506372535965
5300,C0.30,r5p_c_EX,-108.715,-117.34840351453099,-117.34840351453099,-117.34840351453099,-117.34840351453099,-117.34840351453099,-117.3553763942908,-117.56278588396637,-117.5787066624694,-117.57855399719625
5400,C0.30,r5p_c_EX,-108.715,-117.05232531415965,-117.05232531415965,-117.05232531415965,-117.05232531415965,-117.05234247568359,-117.07574288213551,-117.1759708225909,-117.1767135692765,-117.17669724756519
5500,C0.30,r5p_c_EX,-108.715,-116.42155622048544,-116.42155622048544,-116.42155622048544,-116.42155622048544,-116.42157835487393,-116.45108413250624,-116.63228968269156,-116.63389527374598,-116.63383432092658
5600,C0.30,r5p_c_EX,-108.715,-116.6549861379605,-116.6549861379605,-116.6549861379605,-116.6549861379605,-116.65502642807539,-116.68566801917524,-116.83887920584381,-116.84173939283077,-116.84171136779483
