,experiment_code,reaction_code,0.0001,0.001,0.01,0.1,1,10,100,1000,10000
41,C0.16,PFK,1.07659,1.07756,1.08626,1.12591,1.14972,1.1413799999999998,1.13558,1.13425,1.13431
42,C0.16,FBA,1.07649,1.0764799999999999,1.07653,1.07901,1.09705,1.13294,1.13504,1.13425,1.13431
43,C0.16,TPI,1.05284,1.0528,1.05263,1.05074,1.0546,1.10438,1.10808,1.10722,1.1073
44,C0.16,GAPD,2.1306700000000003,2.1306700000000003,2.13068,2.1310599999999997,2.15171,2.2388,2.24459,2.24317,2.24277
45,C0.16,PGK,2.1307099999999997,2.1306700000000003,2.13068,2.1310599999999997,2.1517,2.23875,2.24457,2.24317,2.24277
46,C0.16,GPM,2.1308599999999998,2.13085,2.1308,2.1307,2.13211,2.15161,2.22602,2.24317,2.24277
47,C0.16,ENO,2.13069,2.13069,2.13069,2.13069,2.1309400000000003,2.14624,2.22487,2.24317,2.24277
48,C0.16,PYK,2.1306700000000003,2.1306700000000003,2.1306700000000003,2.1306700000000003,2.13076,2.14456,2.22453,2.24317,2.24277
49,C0.16,G6PDH2r,0.20266199999999998,0.202658,0.20261700000000002,0.202202,0.19814,0.16473,0.0573706,0.0239852,0.0236899
50,C0.16,PGL,0.0205581,0.0205582,0.020559400000000002,0.0205716,0.0206904,0.0216509,0.024340200000000003,0.023948900000000002,0.0236894
51,C0.16,GND,0.0204542,0.0204542,0.0204542,0.0204542,0.020452599999999998,0.0204557,0.0214833,0.023718799999999998,0.0236856
52,C0.16,RPE,0.00266932,0.00266932,0.00266922,0.00266411,0.00259813,0.00249197,0.00274825,0.00246648,0.00217741
53,C0.16,RKI,0.017776,0.017776,0.017776,0.0177761,0.017794099999999997,0.0178686,0.0185461,0.0212322,0.0215077
54,C0.16,TKL1,0.00152807,0.00152806,0.00152805,0.00152769,0.00150777,0.0014200999999999999,0.001425,0.00170838,0.00116991
55,C0.16,TKL2,0.00110015,0.00109672,0.00106502,0.000892676,0.000742191,0.000696746,0.0005898440000000001,0.000679018,0.00100564
56,C0.16,TAL,0.00110441,0.00109336,0.000994109,0.0005268159999999999,0.000227018,0.000322737,0.000523386,0.000688771,0.00100718
57,C0.16,pyr_c_EX,2.13069,2.13069,2.13069,2.13069,2.13069,2.13489,2.22084,2.24317,2.24277
58,C0.16,dhap_c_EX,0.023800799999999997,0.023800799999999997,0.023800799999999997,0.0238045,0.024105500000000002,0.025588099999999996,0.0267517,0.0270253,0.0270128
59,C0.16,r5p_c_EX,0.0162256,0.0162256,0.0162256,0.0162256,0.0162262,0.0162512,0.0167338,0.0194817,0.0203368
60,C0.22,PGI,9.47831,9.449869999999999,9.173969999999999,7.06543,2.28511,1.79286,1.77013,1.76978,1.76962
61,C0.22,PFK,1.6507599999999998,1.6517099999999998,1.66074,1.72292,1.8239599999999998,1.79198,1.77033,1.7702900000000001,1.7704
62,C0.22,FBA,1.6506599999999998,1.6506599999999998,1.6506900000000002,1.65295,1.6862400000000002,1.76265,1.77026,1.7703,1.7704
63,C0.22,TPI,1.50048,1.50047,1.50041,1.49891,1.50308,1.58815,1.59382,1.59386,1.59402
64,C0.22,GAPD,3.1526099999999997,3.1526099999999997,3.1526099999999997,3.15307,3.18834,3.35198,3.36577,3.3656099999999998,3.3652300000000004
65,C0.22,PGK,3.1526,3.1526,3.1526099999999997,3.1530400000000003,3.18812,3.3518,3.36577,3.3656099999999998,3.3652300000000004
66,C0.22,GPM,3.15269,3.15268,3.1526400000000003,3.15263,3.15748,3.25528,3.36534,3.3656099999999998,3.3652300000000004
67,C0.22,ENO,3.1526,3.1526,3.1526099999999997,3.1526099999999997,3.15572,3.24948,3.3653199999999996,3.3656099999999998,3.3652300000000004
68,C0.22,PYK,3.1526,3.1526,3.1526,3.1526,3.15334,3.23745,3.3652599999999997,3.3656099999999998,3.3652300000000004
69,C0.22,G6PDH2r,0.21176799999999998,0.211765,0.211732,0.211409,0.208233,0.181284,0.08245380000000001,0.0408937,0.0406826
70,C0.22,PGL,0.036319800000000006,0.03632,0.0363212,0.0363337,0.036456199999999994,0.0374656,0.040539599999999995,0.040861400000000006,0.0406819
71,C0.22,GND,0.0362925,0.0362925,0.0362925,0.0362925,0.0362929,0.0363446,0.038163800000000005,0.0408117,0.0406786
72,C0.22,RPE,0.00199196,0.00199195,0.00199189,0.00199089,0.00197352,0.00196952,0.00241436,0.00176158,0.00120802
73,C0.22,RKI,0.0342978,0.0342978,0.0342977,0.0342974,0.034299699999999995,0.0343006,0.0355517,0.0390431,0.03947
74,C0.22,TKL1,0.00159234,0.00159234,0.00159233,0.00159198,0.00156593,0.00141287,0.00139528,0.0014919,0.000817683
75,C0.22,TKL2,0.000376427,0.00037611199999999995,0.00037305199999999996,0.00034941800000000005,0.000292598,0.00027417,0.000249383,0.00024204,0.000388102
76,C0.22,TAL,0.000439765,0.00043577,0.000397503,0.000131781,-0.000321901,-0.000252341,-5.03141e-05,0.000277839,0.00040075699999999996
