# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 1
# model = inference_model_yeast_exp_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = data/out/input_data_yeast_exp.json
# init = /var/folders/dg/rm_5w1r54719cfv7q8cj0nkjnz2j8q/T/tmph6eua06f/1f1gg5ey.json
# random
#   seed = 63928
# output
#   file = /Users/nicow/Maud/data/out/inference_model_yeast_exp-202003031326-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,formation_energy.1,formation_energy.2,formation_energy.3,formation_energy.4,formation_energy.5,formation_energy.6,formation_energy.7,formation_energy.8,formation_energy.9,formation_energy.10,formation_energy.11,formation_energy.12,formation_energy.13,kinetic_parameters.1,kinetic_parameters.2,kinetic_parameters.3,kinetic_parameters.4,kinetic_parameters.5,kinetic_parameters.6,kinetic_parameters.7,kinetic_parameters.8,kinetic_parameters.9,kinetic_parameters.10,kinetic_parameters.11,kinetic_parameters.12,kinetic_parameters.13,kinetic_parameters.14,kinetic_parameters.15,kinetic_parameters.16,kinetic_parameters.17,kinetic_parameters.18,kinetic_parameters.19,kinetic_parameters.20,kinetic_parameters.21,kinetic_parameters.22,kinetic_parameters.23,kinetic_parameters.24,kinetic_parameters.25,kinetic_parameters.26,kinetic_parameters.27,kinetic_parameters.28,kinetic_parameters.29,kinetic_parameters.30,kinetic_parameters.31,kinetic_parameters.32,kinetic_parameters.33,kinetic_parameters.34,enzyme_concentration.1.1,enzyme_concentration.2.1,enzyme_concentration.1.2,enzyme_concentration.2.2,enzyme_concentration.1.3,enzyme_concentration.2.3,enzyme_concentration.1.4,enzyme_concentration.2.4,enzyme_concentration.1.5,enzyme_concentration.2.5,enzyme_concentration.1.6,enzyme_concentration.2.6,enzyme_concentration.1.7,enzyme_concentration.2.7,enzyme_concentration.1.8,enzyme_concentration.2.8,conc_unbalanced.1.1,conc_unbalanced.2.1,conc_unbalanced.1.2,conc_unbalanced.2.2,conc_unbalanced.1.3,conc_unbalanced.2.3,conc_unbalanced.1.4,conc_unbalanced.2.4,conc_unbalanced.1.5,conc_unbalanced.2.5,conc_unbalanced.1.6,conc_unbalanced.2.6,conc_unbalanced.1.7,conc_unbalanced.2.7,conc_unbalanced.1.8,conc_unbalanced.2.8,initial_time,conc.1.1,conc.2.1,conc.1.2,conc.2.2,conc.1.3,conc.2.3,conc.1.4,conc.2.4,conc.1.5,conc.2.5,conc.1.6,conc.2.6,conc.1.7,conc.2.7,conc.1.8,conc.2.8,conc.1.9,conc.2.9,conc.1.10,conc.2.10,conc.1.11,conc.2.11,conc.1.12,conc.2.12,conc.1.13,conc.2.13,conc.1.14,conc.2.14,flux.1.1,flux.2.1,flux.1.2,flux.2.2,flux.1.3,flux.2.3,flux.1.4,flux.2.4,flux.1.5,flux.2.5,flux.1.6,flux.2.6,flux.1.7,flux.2.7,flux.1.8,flux.2.8,delta_g.1,delta_g.2,delta_g.3,delta_g.4,delta_g.5,delta_g.6,delta_g.7,delta_g.8,yconc_sim.1,yconc_sim.2,yconc_sim.3,yconc_sim.4,yconc_sim.5,yconc_sim.6,yconc_sim.7,yconc_sim.8,yconc_sim.9,yconc_sim.10,yconc_sim.11,yconc_sim.12,yconc_sim.13,yconc_sim.14,yconc_sim.15,yconc_sim.16,yconc_sim.17,yconc_sim.18,yconc_sim.19,yconc_sim.20,yenz_sim.1,yenz_sim.2,yenz_sim.3,yenz_sim.4,yenz_sim.5,yenz_sim.6,yenz_sim.7,yenz_sim.8,yenz_sim.9,yenz_sim.10,yenz_sim.11,yenz_sim.12,yenz_sim.13,yenz_sim.14,yenz_sim.15,yenz_sim.16,yflux_sim.1,yflux_sim.2,yflux_sim.3,yflux_sim.4,log_like.1,log_like.2,log_like.3,log_like.4,log_like.5,log_like.6,log_like.7,log_like.8,log_like.9,log_like.10,log_like.11,log_like.12,log_like.13,log_like.14,log_like.15,log_like.16,log_like.17,log_like.18,log_like.19,log_like.20,log_like.21,log_like.22,log_like.23,log_like.24
-75246.2,1,0.00195312,2,3,0,163955,-446.801,-2313,-1440.8,-1222.9,-1158.7,-1365.2,-1336.31,-1333.79,-2220.9,-1106.4,-2219,-1111.9,-1073.3,0.978925,0.897483,2.06391,0.200928,0.194888,29.9353,0.229437,63.1293,1.03052,0.309716,486.166,0.102054,0.72572,0.108615,0.999255,203.635,0.4501,2.00474,2.40696,4.08142,6.44406,5.25872,563.93,0.425152,0.0901897,1.50337,0.0600106,0.910677,18.9656,0.200344,0.0030215,4.58178,1.98106,58.4177,0.61577,0.339392,0.995768,0.289898,0.153485,0.529544,0.152303,0.499315,0.0723213,0.418899,0.0771671,0.349709,0.0329707,0.679925,0.0329962,0.610559,4.05368,0.0194592,4.26318,0.0154187,0.320563,0.0368535,0.252444,0.0293273,0.0951786,0.0178802,0.0753855,0.0141844,0.529374,3.30258,0.42152,2.6646,0,4.05368,0.0194592,0.00430154,0.00233127,4.26318,0.0154187,0.320563,0.0368535,0.252444,0.0293273,0.0951786,0.0178802,0.0753855,0.0141844,7.37523,0.1083,2.59199,0.0392643,355.26,3.41121,0.0648189,0.358543,3.88706e-05,6.03909e-05,0.529374,3.30258,0.42152,2.6646,1.02165,0.0119866,1.02165,0.0119866,1.00702,0.0119866,1.00187,0.0119866,0.294608,0.0119866,-0.412448,0.089332,-0.11784,0.101319,-0.11784,0.101319,0,-17.2974,2.51363,-14.8985,2.59829,5.50053,24.8935,-18.4068,4.21795,7.94128,0.0735854,371.21,0.54622,0.0954808,0.264069,0.397479,0.333593,4.09626,0.0203585,0.113148,0.0147586,3.73687,2.94738,0.0195365,0.0315521,2.47827,0.0386409,0.0160954,0.612831,0.966629,0.148078,0.146828,0.0703516,0.078557,0.0312734,0.0324834,0.28284,0.285607,0.57971,0.492563,0.438257,0.381534,0.644308,0.652092,0.998212,-0.405122,0.019549,0.0896266,-17718.8,-4573.87,-111.251,3.14128,-0.748971,-2450.91,-96.6979,-17149.8,-2288.11,-503.196,-107.87,-858.471,-289.363,-1344.33,-5876.94,-43.3431,-99.6465,-4691.95,-5932.46,1.79061,-1416.56,1.09787,-99.3544,-1557.66
-75246.2,0,14.3855,0,1,1,75289.3,-446.801,-2313,-1440.8,-1222.9,-1158.7,-1365.2,-1336.31,-1333.79,-2220.9,-1106.4,-2219,-1111.9,-1073.3,0.978925,0.897483,2.06391,0.200928,0.194888,29.9353,0.229437,63.1293,1.03052,0.309716,486.166,0.102054,0.72572,0.108615,0.999255,203.635,0.4501,2.00474,2.40696,4.08142,6.44406,5.25872,563.93,0.425152,0.0901897,1.50337,0.0600106,0.910677,18.9656,0.200344,0.0030215,4.58178,1.98106,58.4177,0.61577,0.339392,0.995768,0.289898,0.153485,0.529544,0.152303,0.499315,0.0723213,0.418899,0.0771671,0.349709,0.0329707,0.679925,0.0329962,0.610559,4.05368,0.0194592,4.26318,0.0154187,0.320563,0.0368535,0.252444,0.0293273,0.0951786,0.0178802,0.0753855,0.0141844,0.529374,3.30258,0.42152,2.6646,0,4.05368,0.0194592,0.00430154,0.00233127,4.26318,0.0154187,0.320563,0.0368535,0.252444,0.0293273,0.0951786,0.0178802,0.0753855,0.0141844,7.37523,0.1083,2.59199,0.0392643,355.26,3.41121,0.0648189,0.358543,3.88706e-05,6.03909e-05,0.529374,3.30258,0.42152,2.6646,1.02165,0.0119866,1.02165,0.0119866,1.00702,0.0119866,1.00187,0.0119866,0.294608,0.0119866,-0.412448,0.089332,-0.11784,0.101319,-0.11784,0.101319,0,-17.2974,2.51363,-14.8985,2.59829,5.50053,24.8935,-18.4068,3.82971,7.29539,0.0700401,345.874,0.517302,0.097782,0.257313,0.474704,0.341772,4.27649,0.0220534,0.114521,0.013737,3.26873,3.31324,0.0175134,0.0280889,2.51824,0.0345246,0.0137763,0.855491,0.99704,0.147766,0.15496,0.0751498,0.0815051,0.0363048,0.0316113,0.333226,0.293534,0.502396,0.46626,0.409927,0.368834,0.769911,0.677788,0.998587,-0.407436,0.0163798,0.087005,-17718.8,-4573.87,-111.251,3.14128,-0.748971,-2450.91,-96.6979,-17149.8,-2288.11,-503.196,-107.87,-858.471,-289.363,-1344.33,-5876.94,-43.3431,-99.6465,-4691.95,-5932.46,1.79061,-1416.56,1.09787,-99.3544,-1557.66
-75246.2,0,2.43117,0,1,1,75288.5,-446.801,-2313,-1440.8,-1222.9,-1158.7,-1365.2,-1336.31,-1333.79,-2220.9,-1106.4,-2219,-1111.9,-1073.3,0.978925,0.897483,2.06391,0.200928,0.194888,29.9353,0.229437,63.1293,1.03052,0.309716,486.166,0.102054,0.72572,0.108615,0.999255,203.635,0.4501,2.00474,2.40696,4.08142,6.44406,5.25872,563.93,0.425152,0.0901897,1.50337,0.0600106,0.910677,18.9656,0.200344,0.0030215,4.58178,1.98106,58.4177,0.61577,0.339392,0.995768,0.289898,0.153485,0.529544,0.152303,0.499315,0.0723213,0.418899,0.0771671,0.349709,0.0329707,0.679925,0.0329962,0.610559,4.05368,0.0194592,4.26318,0.0154187,0.320563,0.0368535,0.252444,0.0293273,0.0951786,0.0178802,0.0753855,0.0141844,0.529374,3.30258,0.42152,2.6646,0,4.05368,0.0194592,0.00430154,0.00233127,4.26318,0.0154187,0.320563,0.0368535,0.252444,0.0293273,0.0951786,0.0178802,0.0753855,0.0141844,7.37523,0.1083,2.59199,0.0392643,355.26,3.41121,0.0648189,0.358543,3.88706e-05,6.03909e-05,0.529374,3.30258,0.42152,2.6646,1.02165,0.0119866,1.02165,0.0119866,1.00702,0.0119866,1.00187,0.0119866,0.294608,0.0119866,-0.412448,0.089332,-0.11784,0.101319,-0.11784,0.101319,0,-17.2974,2.51363,-14.8985,2.59829,5.50053,24.8935,-18.4068,3.96613,7.38462,0.0708727,341.8,0.521776,0.101259,0.261722,0.430672,0.330535,4.46277,0.0202857,0.109559,0.0138898,3.68822,3.07264,0.0169677,0.0285594,2.29205,0.0360954,0.014822,0.834229,0.988737,0.142783,0.133184,0.0673381,0.0770953,0.0330236,0.0334586,0.314323,0.283509,0.499251,0.470524,0.40038,0.364022,0.661278,0.625328,0.99832,-0.417976,0.00676398,0.0906035,-17718.8,-4573.87,-111.251,3.14128,-0.748971,-2450.91,-96.6979,-17149.8,-2288.11,-503.196,-107.87,-858.471,-289.363,-1344.33,-5876.94,-43.3431,-99.6465,-4691.95,-5932.46,1.79061,-1416.56,1.09787,-99.3544,-1557.66
-75246.2,0,0.239791,0,1,1,75283.3,-446.801,-2313,-1440.8,-1222.9,-1158.7,-1365.2,-1336.31,-1333.79,-2220.9,-1106.4,-2219,-1111.9,-1073.3,0.978925,0.897483,2.06391,0.200928,0.194888,29.9353,0.229437,63.1293,1.03052,0.309716,486.166,0.102054,0.72572,0.108615,0.999255,203.635,0.4501,2.00474,2.40696,4.08142,6.44406,5.25872,563.93,0.425152,0.0901897,1.50337,0.0600106,0.910677,18.9656,0.200344,0.0030215,4.58178,1.98106,58.4177,0.61577,0.339392,0.995768,0.289898,0.153485,0.529544,0.152303,0.499315,0.0723213,0.418899,0.0771671,0.349709,0.0329707,0.679925,0.0329962,0.610559,4.05368,0.0194592,4.26318,0.0154187,0.320563,0.0368535,0.252444,0.0293273,0.0951786,0.0178802,0.0753855,0.0141844,0.529374,3.30258,0.42152,2.6646,0,4.05368,0.0194592,0.00430154,0.00233127,4.26318,0.0154187,0.320563,0.0368535,0.252444,0.0293273,0.0951786,0.0178802,0.0753855,0.0141844,7.37523,0.1083,2.59199,0.0392643,355.26,3.41121,0.0648189,0.358543,3.88706e-05,6.03909e-05,0.529374,3.30258,0.42152,2.6646,1.02165,0.0119866,1.02165,0.0119866,1.00702,0.0119866,1.00187,0.0119866,0.294608,0.0119866,-0.412448,0.089332,-0.11784,0.101319,-0.11784,0.101319,0,-17.2974,2.51363,-14.8985,2.59829,5.50053,24.8935,-18.4068,4.0544,7.35841,0.0739264,352.16,0.498044,0.0900235,0.252476,0.428073,0.294484,4.39646,0.0204593,0.107711,0.0155117,3.16642,3.49313,0.017052,0.0281594,2.4182,0.0349938,0.0148198,0.446222,1.01787,0.15575,0.144667,0.0732526,0.0771304,0.0357253,0.0316723,0.309604,0.269538,0.546219,0.47399,0.421838,0.339184,0.626334,0.632683,1.00005,-0.408135,0.00783018,0.0806818,-17718.8,-4573.87,-111.251,3.14128,-0.748971,-2450.91,-96.6979,-17149.8,-2288.11,-503.196,-107.87,-858.471,-289.363,-1344.33,-5876.94,-43.3431,-99.6465,-4691.95,-5932.46,1.79061,-1416.56,1.09787,-99.3544,-1557.66
-75246.2,0,0.0186273,0,1,1,75291.7,-446.801,-2313,-1440.8,-1222.9,-1158.7,-1365.2,-1336.31,-1333.79,-2220.9,-1106.4,-2219,-1111.9,-1073.3,0.978925,0.897483,2.06391,0.200928,0.194888,29.9353,0.229437,63.1293,1.03052,0.309716,486.166,0.102054,0.72572,0.108615,0.999255,203.635,0.4501,2.00474,2.40696,4.08142,6.44406,5.25872,563.93,0.425152,0.0901897,1.50337,0.0600106,0.910677,18.9656,0.200344,0.0030215,4.58178,1.98106,58.4177,0.61577,0.339392,0.995768,0.289898,0.153485,0.529544,0.152303,0.499315,0.0723213,0.418899,0.0771671,0.349709,0.0329707,0.679925,0.0329962,0.610559,4.05368,0.0194592,4.26318,0.0154187,0.320563,0.0368535,0.252444,0.0293273,0.0951786,0.0178802,0.0753855,0.0141844,0.529374,3.30258,0.42152,2.6646,0,4.05368,0.0194592,0.00430154,0.00233127,4.26318,0.0154187,0.320563,0.0368535,0.252444,0.0293273,0.0951786,0.0178802,0.0753855,0.0141844,7.37523,0.1083,2.59199,0.0392643,355.26,3.41121,0.0648189,0.358543,3.88706e-05,6.03909e-05,0.529374,3.30258,0.42152,2.6646,1.02165,0.0119866,1.02165,0.0119866,1.00702,0.0119866,1.00187,0.0119866,0.294608,0.0119866,-0.412448,0.089332,-0.11784,0.101319,-0.11784,0.101319,0,-17.2974,2.51363,-14.8985,2.59829,5.50053,24.8935,-18.4068,3.96694,7.34278,0.0698181,347.736,0.534835,0.096622,0.267853,0.397228,0.320053,4.1403,0.0179837,0.116061,0.0150349,3.61416,3.28036,0.0182121,0.029216,2.64119,0.035926,0.0141746,0.56101,0.987872,0.167225,0.164431,0.0710938,0.0808045,0.0313834,0.03207,0.301576,0.315064,0.504838,0.507229,0.440902,0.351753,0.709616,0.58668,1.00682,-0.409261,0.00460663,0.0888418,-17718.8,-4573.87,-111.251,3.14128,-0.748971,-2450.91,-96.6979,-17149.8,-2288.11,-503.196,-107.87,-858.471,-289.363,-1344.33,-5876.94,-43.3431,-99.6465,-4691.95,-5932.46,1.79061,-1416.56,1.09787,-99.3544,-1557.66
-64358.1,1,0.00130482,2,3,0,74849.7,-446.802,-2313.01,-1440.8,-1222.9,-1158.7,-1365.2,-1336.3,-1333.79,-2220.89,-1106.4,-2219,-1111.9,-1073.3,1.00971,0.897184,1.79336,0.200725,0.194923,29.9255,0.229228,63.1174,1.03075,0.308863,483.663,0.102146,0.7234,0.10862,0.995528,203.277,0.448235,1.99812,2.39788,4.04702,6.45708,5.24127,564.86,0.424216,0.0907124,1.50644,0.0597745,0.913726,18.9959,0.200427,0.00305039,4.58446,1.96751,58.1988,0.534362,0.339404,0.992508,0.289981,0.153859,0.52829,0.151868,0.496376,0.0714261,0.419796,0.0774729,0.349624,0.0330917,0.67772,0.0329848,0.609953,3.94465,0.0196917,4.2426,0.0154651,0.319993,0.0367746,0.252877,0.0294619,0.0947213,0.0178383,0.0750572,0.0142397,0.530131,3.23915,0.425377,2.6688,0,3.94465,0.0196917,0.00303896,0.00202276,4.2426,0.0154651,0.319993,0.0367746,0.252877,0.0294619,0.0947213,0.0178383,0.0750572,0.0142397,3.65028,0.0967601,1.2913,0.0350876,233.992,3.25359,0.0646851,0.351529,3.79254e-05,5.95508e-05,0.530131,3.23915,0.425377,2.6688,0.761888,0.0104245,0.761887,0.0104245,0.754689,0.0104245,0.752136,0.0104245,0.288225,0.0104245,-0.403002,0.0877777,-0.114777,0.0982021,-0.114777,0.0982021,0,-17.2885,2.51318,-14.8882,2.58094,5.50145,24.9062,-18.417,3.59515,3.38286,0.0776451,221.517,0.530736,0.0926249,0.238683,0.407326,0.295646,4.33336,0.0175288,0.0971003,0.0155289,3.21926,3.13413,0.0185538,0.028808,2.92134,0.0375939,0.0165325,0.681891,0.939057,0.160817,0.14431,0.0653767,0.0762518,0.0316775,0.0316729,0.343592,0.317737,0.53421,0.504767,0.432159,0.32436,0.698106,0.62079,0.752448,-0.397755,0.0110498,0.0895395,-9562.6,-4394.87,-116.051,2.60377,-1.79168,-1564.29,-95.4546,-15637.8,-2290.05,-500.126,-107.361,-850.936,-288.5,-1339.31,-5851.21,-67.7664,-98.5215,-4600.69,-5890.27,1.92955,-1411.68,1.09629,-99.9732,-1554.31
-54983.2,1,0.00189104,2,3,0,64045.1,-446.798,-2313.01,-1440.79,-1222.9,-1158.7,-1365.21,-1336.3,-1333.79,-2220.88,-1106.4,-2218.99,-1111.91,-1073.31,1.04842,0.900798,1.47979,0.19849,0.195964,29.824,0.229495,63.4828,1.03684,0.30967,486.71,0.101506,0.718159,0.109761,1.00361,204.74,0.446427,2.00538,2.40419,3.96135,6.50044,5.25595,568.315,0.424689,0.0907522,1.50403,0.0596491,0.910212,18.8355,0.202492,0.00309206,4.59724,1.95,57.4144,0.443697,0.339873,0.986569,0.290479,0.154458,0.524881,0.152025,0.4933,0.0705645,0.420474,0.078061,0.348282,0.0330403,0.674808,0.032927,0.616262,3.8102,0.0200546,4.20134,0.0155485,0.319927,0.036796,0.25254,0.0296825,0.093979,0.0177963,0.0736131,0.0142969,0.522309,3.12173,0.428035,2.67296,0,3.8102,0.0200546,0.00192532,0.00164863,4.20134,0.0155485,0.319927,0.036796,0.25254,0.0296825,0.093979,0.0177963,0.0736131,0.0142969,1.24396,0.0810597,0.442251,0.0294092,119.509,2.98797,0.0632092,0.337466,3.58493e-05,5.77884e-05,0.522309,3.12173,0.428035,2.67296,0.514399,0.00864828,0.514399,0.00864828,0.511997,0.00864828,0.511139,0.00864828,0.27797,0.00864828,-0.384897,0.0841745,-0.106927,0.0928227,-0.106927,0.0928227,0,-17.2812,2.51196,-14.8717,2.56561,5.51118,24.9157,-18.4376,3.68295,1.20694,0.0715996,111.341,0.570328,0.0906541,0.261896,0.423775,0.338746,4.38588,0.0205627,0.0825524,0.0146344,3.15559,3.461,0.0170938,0.0298345,2.53076,0.0363689,0.0155079,0.49058,1.0513,0.153185,0.165838,0.0679738,0.0881514,0.0363458,0.0353532,0.309898,0.292833,0.523182,0.484773,0.433724,0.328939,0.675775,0.644784,0.512188,-0.387718,0.0115468,0.0832504,-4056.98,-4061.79,-121.628,0.986083,-3.5476,-590.425,-90.0124,-13351.2,-2269.95,-495.132,-107.757,-845.802,-288.401,-1329.2,-5811.77,-116.403,-97.3665,-4438.65,-5810.35,2.06714,-1403.76,1.09374,-99.8051,-1548.31
-51753.6,0.333333,0.00305706,1,3,1,54879.4,-446.798,-2313.01,-1440.78,-1222.9,-1158.7,-1365.21,-1336.3,-1333.79,-2220.87,-1106.4,-2218.99,-1111.92,-1073.31,1.06587,0.897235,1.35885,0.199117,0.197286,29.91,0.229805,63.3504,1.03832,0.309594,486.35,0.101006,0.719743,0.110255,1.00517,204.343,0.445415,2.00404,2.41412,3.96512,6.48951,5.23827,566.858,0.424408,0.0906905,1.50751,0.0595751,0.912808,18.6844,0.203596,0.00312683,4.60385,1.94388,57.1772,0.408262,0.339782,0.984798,0.292789,0.154822,0.51899,0.151211,0.491065,0.0702662,0.420791,0.0784018,0.348241,0.0330841,0.66954,0.0327285,0.616579,3.74049,0.0201751,4.15992,0.0156845,0.319307,0.0368133,0.254113,0.0298583,0.093441,0.0177913,0.0727411,0.014261,0.523028,3.04605,0.428939,2.66107,0,3.74049,0.0201751,0.00159983,0.00150083,4.15992,0.0156845,0.319307,0.0368133,0.254113,0.0298583,0.093441,0.0177913,0.0727411,0.014261,0.714212,0.073354,0.254232,0.026653,80.2384,2.81187,0.0627555,0.327252,3.48417e-05,5.6322e-05,0.523028,3.04605,0.428939,2.66107,0.431386,0.007926,0.431386,0.007926,0.430042,0.007926,0.42956,0.007926,0.27631,0.007926,-0.37809,0.080744,-0.10178,0.08867,-0.10178,0.08867,0,-17.2695,2.50827,-14.8535,2.55343,5.52662,24.912,-18.4543,3.91879,0.697708,0.0769288,85.0533,0.501643,0.0869117,0.261635,0.460619,0.295705,3.7655,0.0217162,0.0690343,0.0140193,2.82966,2.97973,0.0173629,0.0289637,2.68408,0.0375604,0.0164183,0.472897,0.931046,0.161455,0.161018,0.0702777,0.0754114,0.0331986,0.0354154,0.331256,0.318889,0.487943,0.495309,0.399022,0.330847,0.688039,0.555991,0.424977,-0.384675,0.00474413,0.0799494,-2719.61,-3939.94,-123.931,-1.03659,-4.6787,-269.498,-86.7491,-12080.6,-2271.8,-491.504,-105.919,-844.067,-287.462,-1318.99,-5798.86,-149.376,-98.0909,-4324.84,-5757.53,2.08333,-1397.5,1.09844,-99.6691,-1538.62
-51316.4,1,0.000652292,2,3,0,51799.9,-446.795,-2313.01,-1440.78,-1222.9,-1158.7,-1365.21,-1336.3,-1333.79,-2220.88,-1106.4,-2218.99,-1111.93,-1073.31,1.06925,0.896443,1.34223,0.199638,0.197028,29.8542,0.229744,63.462,1.03989,0.309984,487.549,0.100916,0.718453,0.11038,1.00502,204.737,0.44531,1.99925,2.41659,3.96944,6.48924,5.23029,568.191,0.425217,0.090572,1.50791,0.0596023,0.912736,18.6782,0.203499,0.00312945,4.60502,1.94141,56.88,0.403957,0.339902,0.98491,0.292946,0.154628,0.518369,0.150906,0.489934,0.0703243,0.420924,0.0782991,0.348021,0.033128,0.668237,0.0327543,0.615367,3.73359,0.0202086,4.15578,0.0157078,0.31985,0.0368541,0.253921,0.0298395,0.0933633,0.0178049,0.0725289,0.014232,0.521586,3.03019,0.428471,2.66037,0,3.73359,0.0202086,0.00155941,0.00147872,4.15578,0.0157078,0.31985,0.0368541,0.253921,0.0298395,0.0933633,0.0178049,0.0725289,0.014232,0.652439,0.0719926,0.232422,0.0261858,75.1431,2.77981,0.062609,0.325681,3.45613e-05,5.59864e-05,0.521586,3.03019,0.428471,2.66037,0.421154,0.00783076,0.421154,0.00783076,0.419934,0.00783076,0.419496,0.00783076,0.276687,0.00783076,-0.377632,0.0797028,-0.100944,0.0875336,-0.100944,0.0875336,0,-17.2687,2.50567,-14.8523,2.55006,5.52563,24.9128,-18.4519,3.6644,0.656625,0.0710536,76.2535,0.503899,0.0981767,0.252863,0.431653,0.319925,4.50879,0.0201095,0.0670577,0.01478,2.42126,3.09575,0.0184552,0.0318159,2.44883,0.0362217,0.0142164,0.360078,1.01563,0.150166,0.16473,0.0741658,0.0810411,0.032727,0.0351211,0.307011,0.288587,0.483476,0.486519,0.417957,0.366673,0.635432,0.606961,0.420089,-0.377878,0.00579396,0.0784544,-2573.07,-3931.8,-124.237,-1.74365,-4.79947,-228.852,-85.9575,-11877.5,-2268.07,-490.978,-106.142,-844.964,-288.285,-1317.97,-5795.29,-156.005,-98.6762,-4303.53,-5746.32,2.0391,-1398.17,1.09846,-99.3499,-1536.97
-50953.5,0.821015,0.00117083,2,3,0,51354.1,-446.796,-2313.01,-1440.78,-1222.9,-1158.7,-1365.21,-1336.3,-1333.79,-2220.87,-1106.4,-2218.99,-1111.93,-1073.31,1.07298,0.896146,1.32939,0.199417,0.196853,29.794,0.230003,63.4819,1.04018,0.309838,486.622,0.100923,0.720048,0.110362,1.00316,204.846,0.445386,2.00057,2.41536,3.97944,6.49587,5.23821,568.154,0.42496,0.0906933,1.50867,0.0595793,0.912171,18.6911,0.203308,0.00312472,4.6002,1.93696,56.7662,0.399954,0.340343,0.984071,0.292861,0.154648,0.517346,0.150943,0.489144,0.0702434,0.421957,0.0783431,0.347938,0.0330698,0.66872,0.0326843,0.615557,3.72826,0.020244,4.15308,0.0157003,0.319081,0.03684,0.254085,0.0299016,0.0932409,0.017832,0.0724161,0.0142572,0.521708,3.01737,0.42897,2.66122,0,3.72826,0.020244,0.00152338,0.00146284,4.15308,0.0157003,0.319081,0.03684,0.254085,0.0299016,0.0932409,0.017832,0.0724161,0.0142572,0.605299,0.071172,0.215594,0.0258908,70.9012,2.75179,0.0626177,0.324278,3.45558e-05,5.58167e-05,0.521708,3.01737,0.42897,2.66122,0.412546,0.00776044,0.412546,0.00776044,0.411421,0.00776044,0.411016,0.00776044,0.27692,0.00776044,-0.377481,0.0795035,-0.100561,0.087264,-0.100561,0.087264,0,-17.267,2.50533,-14.8505,2.54637,5.52583,24.9126,-18.4511,3.87592,0.642211,0.070231,71.3161,0.590701,0.0980045,0.269859,0.477665,0.311352,4.04346,0.0209372,0.0661174,0.0150028,2.65574,2.96301,0.0181035,0.0309485,2.40869,0.0367146,0.0146424,0.414766,0.889926,0.14771,0.149845,0.068272,0.0716367,0.0313284,0.0318245,0.384898,0.296685,0.472423,0.509588,0.408644,0.334046,0.659525,0.61467,0.412496,-0.373209,0.00993085,0.0718257,-2452.74,-3929.13,-124.462,-1.88393,-4.89372,-197.638,-85.5373,-11699,-2268.39,-490.152,-105.952,-844.008,-287.121,-1317.3,-5791.51,-160.13,-98.1661,-4284.74,-5737.23,1.95022,-1395.97,1.09843,-99.4604,-1537.5
