# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 1
# model = inference_model_yeast_exp_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = data/out/input_data_yeast_exp.json
# init = /var/folders/dg/rm_5w1r54719cfv7q8cj0nkjnz2j8q/T/tmph6eua06f/1f1gg5ey.json
# random
#   seed = 63928
# output
#   file = /Users/nicow/Maud/data/out/inference_model_yeast_exp-202003031326-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,formation_energy.1,formation_energy.2,formation_energy.3,formation_energy.4,formation_energy.5,formation_energy.6,formation_energy.7,formation_energy.8,formation_energy.9,formation_energy.10,formation_energy.11,formation_energy.12,formation_energy.13,kinetic_parameters.1,kinetic_parameters.2,kinetic_parameters.3,kinetic_parameters.4,kinetic_parameters.5,kinetic_parameters.6,kinetic_parameters.7,kinetic_parameters.8,kinetic_parameters.9,kinetic_parameters.10,kinetic_parameters.11,kinetic_parameters.12,kinetic_parameters.13,kinetic_parameters.14,kinetic_parameters.15,kinetic_parameters.16,kinetic_parameters.17,kinetic_parameters.18,kinetic_parameters.19,kinetic_parameters.20,kinetic_parameters.21,kinetic_parameters.22,kinetic_parameters.23,kinetic_parameters.24,kinetic_parameters.25,kinetic_parameters.26,kinetic_parameters.27,kinetic_parameters.28,kinetic_parameters.29,kinetic_parameters.30,kinetic_parameters.31,kinetic_parameters.32,kinetic_parameters.33,kinetic_parameters.34,enzyme_concentration.1.1,enzyme_concentration.2.1,enzyme_concentration.1.2,enzyme_concentration.2.2,enzyme_concentration.1.3,enzyme_concentration.2.3,enzyme_concentration.1.4,enzyme_concentration.2.4,enzyme_concentration.1.5,enzyme_concentration.2.5,enzyme_concentration.1.6,enzyme_concentration.2.6,enzyme_concentration.1.7,enzyme_concentration.2.7,enzyme_concentration.1.8,enzyme_concentration.2.8,conc_unbalanced.1.1,conc_unbalanced.2.1,conc_unbalanced.1.2,conc_unbalanced.2.2,conc_unbalanced.1.3,conc_unbalanced.2.3,conc_unbalanced.1.4,conc_unbalanced.2.4,conc_unbalanced.1.5,conc_unbalanced.2.5,conc_unbalanced.1.6,conc_unbalanced.2.6,conc_unbalanced.1.7,conc_unbalanced.2.7,conc_unbalanced.1.8,conc_unbalanced.2.8,initial_time,conc.1.1,conc.2.1,conc.1.2,conc.2.2,conc.1.3,conc.2.3,conc.1.4,conc.2.4,conc.1.5,conc.2.5,conc.1.6,conc.2.6,conc.1.7,conc.2.7,conc.1.8,conc.2.8,conc.1.9,conc.2.9,conc.1.10,conc.2.10,conc.1.11,conc.2.11,conc.1.12,conc.2.12,conc.1.13,conc.2.13,conc.1.14,conc.2.14,flux.1.1,flux.2.1,flux.1.2,flux.2.2,flux.1.3,flux.2.3,flux.1.4,flux.2.4,flux.1.5,flux.2.5,flux.1.6,flux.2.6,flux.1.7,flux.2.7,flux.1.8,flux.2.8,delta_g.1,delta_g.2,delta_g.3,delta_g.4,delta_g.5,delta_g.6,delta_g.7,delta_g.8,yconc_sim.1,yconc_sim.2,yconc_sim.3,yconc_sim.4,yconc_sim.5,yconc_sim.6,yconc_sim.7,yconc_sim.8,yconc_sim.9,yconc_sim.10,yconc_sim.11,yconc_sim.12,yconc_sim.13,yconc_sim.14,yconc_sim.15,yconc_sim.16,yconc_sim.17,yconc_sim.18,yconc_sim.19,yconc_sim.20,yenz_sim.1,yenz_sim.2,yenz_sim.3,yenz_sim.4,yenz_sim.5,yenz_sim.6,yenz_sim.7,yenz_sim.8,yenz_sim.9,yenz_sim.10,yenz_sim.11,yenz_sim.12,yenz_sim.13,yenz_sim.14,yenz_sim.15,yenz_sim.16,yflux_sim.1,yflux_sim.2,yflux_sim.3,yflux_sim.4,log_like.1,log_like.2,log_like.3,log_like.4,log_like.5,log_like.6,log_like.7,log_like.8,log_like.9,log_like.10,log_like.11,log_like.12,log_like.13,log_like.14,log_like.15,log_like.16,log_like.17,log_like.18,log_like.19,log_like.20,log_like.21,log_like.22,log_like.23,log_like.24
-75285.5,1,0.00195312,1,1,0,163983,-446.802,-2313,-1440.8,-1222.9,-1158.7,-1365.2,-1336.31,-1333.79,-2220.89,-1106.4,-2219,-1111.9,-1073.3,0.979566,0.898763,2.06632,0.200034,0.195253,29.9327,0.230458,63.0819,1.02902,0.310224,487.14,0.102434,0.729374,0.108392,0.991799,203.221,0.449577,1.99978,2.39725,4.08791,6.45632,5.24739,566.84,0.423016,0.0899683,1.49695,0.0599756,0.913838,19.029,0.200683,0.00301579,4.56595,1.9868,58.3373,0.615536,0.339448,0.996403,0.290465,0.15383,0.529682,0.152544,0.499382,0.0720352,0.420591,0.0772762,0.350593,0.0330983,0.677979,0.0329942,0.609535,4.04681,0.0193965,4.27053,0.0154577,0.320857,0.0370239,0.2514,0.0292988,0.0953811,0.0178761,0.0754197,0.0141932,0.530916,3.30813,0.421516,2.66371,0,4.04681,0.0193965,0.00429148,0.0023155,4.27053,0.0154577,0.320857,0.0370239,0.2514,0.0292988,0.0953811,0.0178761,0.0754197,0.0141932,7.46634,0.108938,2.62443,0.0394941,355.651,3.41514,0.0649881,0.359354,3.81901e-05,6.03166e-05,0.530916,3.30813,0.421516,2.66371,1.02198,0.011963,1.02198,0.011963,1.00717,0.011963,1.00196,0.011963,0.293909,0.011963,-0.412302,0.0893537,-0.118393,0.101317,-0.118393,0.101317,0,-17.3034,2.51374,-14.9013,2.59156,5.49912,24.9018,-18.4031,3.66418,7.20172,0.0754711,353.002,0.572949,0.0916082,0.245039,0.413779,0.285852,4.11732,0.0185841,0.106652,0.0137332,3.07779,3.34689,0.0173767,0.0287225,2.90061,0.0378283,0.0160647,0.562822,0.979843,0.150769,0.153184,0.0779755,0.0818694,0.0351202,0.0318877,0.367218,0.293889,0.530153,0.51917,0.444748,0.358558,0.674607,0.613427,1.00433,-0.407643,0.00739859,0.086655,-17722.2,-4571.08,-111.323,3.14809,-0.80511,-2468.14,-96.8278,-17153.9,-2292.05,-504.553,-109.106,-858.479,-289.806,-1346.12,-5883.94,-42.2091,-99.467,-4694.18,-5936.13,1.80408,-1417.59,1.09808,-98.0276,-1554.84
-75285.5,0,14.3855,0,1,1,75327.8,-446.802,-2313,-1440.8,-1222.9,-1158.7,-1365.2,-1336.31,-1333.79,-2220.89,-1106.4,-2219,-1111.9,-1073.3,0.979566,0.898763,2.06632,0.200034,0.195253,29.9327,0.230458,63.0819,1.02902,0.310224,487.14,0.102434,0.729374,0.108392,0.991799,203.221,0.449577,1.99978,2.39725,4.08791,6.45632,5.24739,566.84,0.423016,0.0899683,1.49695,0.0599756,0.913838,19.029,0.200683,0.00301579,4.56595,1.9868,58.3373,0.615536,0.339448,0.996403,0.290465,0.15383,0.529682,0.152544,0.499382,0.0720352,0.420591,0.0772762,0.350593,0.0330983,0.677979,0.0329942,0.609535,4.04681,0.0193965,4.27053,0.0154577,0.320857,0.0370239,0.2514,0.0292988,0.0953811,0.0178761,0.0754197,0.0141932,0.530916,3.30813,0.421516,2.66371,0,4.04681,0.0193965,0.00429148,0.0023155,4.27053,0.0154577,0.320857,0.0370239,0.2514,0.0292988,0.0953811,0.0178761,0.0754197,0.0141932,7.46634,0.108938,2.62443,0.0394941,355.651,3.41514,0.0649881,0.359354,3.81901e-05,6.03166e-05,0.530916,3.30813,0.421516,2.66371,1.02198,0.011963,1.02198,0.011963,1.00717,0.011963,1.00196,0.011963,0.293909,0.011963,-0.412302,0.0893537,-0.118393,0.101317,-0.118393,0.101317,0,-17.3034,2.51374,-14.9013,2.59156,5.49912,24.9018,-18.4031,4.25053,7.32771,0.0732771,370.008,0.483369,0.0982931,0.2458,0.413063,0.319012,4.01184,0.0195113,0.101999,0.0134327,3.41427,3.32865,0.0187199,0.0302736,3.01519,0.0406823,0.0164367,0.604096,0.965653,0.157758,0.141087,0.0721119,0.0813062,0.032631,0.0360961,0.436409,0.268384,0.510075,0.503751,0.447443,0.341945,0.701695,0.584207,0.992247,-0.412403,0.0106253,0.0854134,-17722.2,-4571.08,-111.323,3.14809,-0.80511,-2468.14,-96.8278,-17153.9,-2292.05,-504.553,-109.106,-858.479,-289.806,-1346.12,-5883.94,-42.2091,-99.467,-4694.18,-5936.13,1.80408,-1417.59,1.09808,-98.0276,-1554.84
-75285.5,0,2.43117,0,1,1,75323.2,-446.802,-2313,-1440.8,-1222.9,-1158.7,-1365.2,-1336.31,-1333.79,-2220.89,-1106.4,-2219,-1111.9,-1073.3,0.979566,0.898763,2.06632,0.200034,0.195253,29.9327,0.230458,63.0819,1.02902,0.310224,487.14,0.102434,0.729374,0.108392,0.991799,203.221,0.449577,1.99978,2.39725,4.08791,6.45632,5.24739,566.84,0.423016,0.0899683,1.49695,0.0599756,0.913838,19.029,0.200683,0.00301579,4.56595,1.9868,58.3373,0.615536,0.339448,0.996403,0.290465,0.15383,0.529682,0.152544,0.499382,0.0720352,0.420591,0.0772762,0.350593,0.0330983,0.677979,0.0329942,0.609535,4.04681,0.0193965,4.27053,0.0154577,0.320857,0.0370239,0.2514,0.0292988,0.0953811,0.0178761,0.0754197,0.0141932,0.530916,3.30813,0.421516,2.66371,0,4.04681,0.0193965,0.00429148,0.0023155,4.27053,0.0154577,0.320857,0.0370239,0.2514,0.0292988,0.0953811,0.0178761,0.0754197,0.0141932,7.46634,0.108938,2.62443,0.0394941,355.651,3.41514,0.0649881,0.359354,3.81901e-05,6.03166e-05,0.530916,3.30813,0.421516,2.66371,1.02198,0.011963,1.02198,0.011963,1.00717,0.011963,1.00196,0.011963,0.293909,0.011963,-0.412302,0.0893537,-0.118393,0.101317,-0.118393,0.101317,0,-17.3034,2.51374,-14.9013,2.59156,5.49912,24.9018,-18.4031,3.92804,7.26673,0.0770339,337.941,0.502168,0.0966,0.252263,0.427181,0.294275,4.39478,0.0213189,0.102684,0.0130951,3.14068,3.18674,0.0161647,0.0299135,2.55409,0.0371262,0.0160664,0.785569,0.956258,0.151559,0.169603,0.0663197,0.0757411,0.033031,0.0322055,0.317905,0.28862,0.499884,0.482206,0.397079,0.386756,0.698835,0.616095,1.00225,-0.407435,0.00950897,0.0869361,-17722.2,-4571.08,-111.323,3.14809,-0.80511,-2468.14,-96.8278,-17153.9,-2292.05,-504.553,-109.106,-858.479,-289.806,-1346.12,-5883.94,-42.2091,-99.467,-4694.18,-5936.13,1.80408,-1417.59,1.09808,-98.0276,-1554.84
-75285.5,0,0.239791,0,1,1,75329.3,-446.802,-2313,-1440.8,-1222.9,-1158.7,-1365.2,-1336.31,-1333.79,-2220.89,-1106.4,-2219,-1111.9,-1073.3,0.979566,0.898763,2.06632,0.200034,0.195253,29.9327,0.230458,63.0819,1.02902,0.310224,487.14,0.102434,0.729374,0.108392,0.991799,203.221,0.449577,1.99978,2.39725,4.08791,6.45632,5.24739,566.84,0.423016,0.0899683,1.49695,0.0599756,0.913838,19.029,0.200683,0.00301579,4.56595,1.9868,58.3373,0.615536,0.339448,0.996403,0.290465,0.15383,0.529682,0.152544,0.499382,0.0720352,0.420591,0.0772762,0.350593,0.0330983,0.677979,0.0329942,0.609535,4.04681,0.0193965,4.27053,0.0154577,0.320857,0.0370239,0.2514,0.0292988,0.0953811,0.0178761,0.0754197,0.0141932,0.530916,3.30813,0.421516,2.66371,0,4.04681,0.0193965,0.00429148,0.0023155,4.27053,0.0154577,0.320857,0.0370239,0.2514,0.0292988,0.0953811,0.0178761,0.0754197,0.0141932,7.46634,0.108938,2.62443,0.0394941,355.651,3.41514,0.0649881,0.359354,3.81901e-05,6.03166e-05,0.530916,3.30813,0.421516,2.66371,1.02198,0.011963,1.02198,0.011963,1.00717,0.011963,1.00196,0.011963,0.293909,0.011963,-0.412302,0.0893537,-0.118393,0.101317,-0.118393,0.101317,0,-17.3034,2.51374,-14.9013,2.59156,5.49912,24.9018,-18.4031,4.21571,7.62846,0.0703461,336.676,0.537014,0.0912144,0.232778,0.421864,0.347261,4.22383,0.0173862,0.113561,0.013274,3.60023,2.90618,0.0182364,0.0297792,2.85552,0.0403093,0.0156935,0.550544,0.920585,0.157182,0.136848,0.0675585,0.0736709,0.0318304,0.0337423,0.391098,0.266218,0.523788,0.50649,0.435525,0.332565,0.666228,0.599891,1.00451,-0.406609,0.0167861,0.0953669,-17722.2,-4571.08,-111.323,3.14809,-0.80511,-2468.14,-96.8278,-17153.9,-2292.05,-504.553,-109.106,-858.479,-289.806,-1346.12,-5883.94,-42.2091,-99.467,-4694.18,-5936.13,1.80408,-1417.59,1.09808,-98.0276,-1554.84
-75285.5,0,0.0186273,0,1,1,75317.8,-446.802,-2313,-1440.8,-1222.9,-1158.7,-1365.2,-1336.31,-1333.79,-2220.89,-1106.4,-2219,-1111.9,-1073.3,0.979566,0.898763,2.06632,0.200034,0.195253,29.9327,0.230458,63.0819,1.02902,0.310224,487.14,0.102434,0.729374,0.108392,0.991799,203.221,0.449577,1.99978,2.39725,4.08791,6.45632,5.24739,566.84,0.423016,0.0899683,1.49695,0.0599756,0.913838,19.029,0.200683,0.00301579,4.56595,1.9868,58.3373,0.615536,0.339448,0.996403,0.290465,0.15383,0.529682,0.152544,0.499382,0.0720352,0.420591,0.0772762,0.350593,0.0330983,0.677979,0.0329942,0.609535,4.04681,0.0193965,4.27053,0.0154577,0.320857,0.0370239,0.2514,0.0292988,0.0953811,0.0178761,0.0754197,0.0141932,0.530916,3.30813,0.421516,2.66371,0,4.04681,0.0193965,0.00429148,0.0023155,4.27053,0.0154577,0.320857,0.0370239,0.2514,0.0292988,0.0953811,0.0178761,0.0754197,0.0141932,7.46634,0.108938,2.62443,0.0394941,355.651,3.41514,0.0649881,0.359354,3.81901e-05,6.03166e-05,0.530916,3.30813,0.421516,2.66371,1.02198,0.011963,1.02198,0.011963,1.00717,0.011963,1.00196,0.011963,0.293909,0.011963,-0.412302,0.0893537,-0.118393,0.101317,-0.118393,0.101317,0,-17.3034,2.51374,-14.9013,2.59156,5.49912,24.9018,-18.4031,3.9536,7.04687,0.0739973,355.809,0.51813,0.095634,0.247898,0.421605,0.321274,4.1162,0.0193984,0.113429,0.0143097,3.30088,3.33585,0.0179925,0.0298107,2.6858,0.0406882,0.0151646,0.58989,1.06002,0.14773,0.146018,0.0720466,0.0771238,0.0313996,0.0320057,0.295543,0.293994,0.518419,0.516744,0.400574,0.326241,0.667824,0.559057,1.00809,-0.409233,0.00873129,0.0925008,-17722.2,-4571.08,-111.323,3.14809,-0.80511,-2468.14,-96.8278,-17153.9,-2292.05,-504.553,-109.106,-858.479,-289.806,-1346.12,-5883.94,-42.2091,-99.467,-4694.18,-5936.13,1.80408,-1417.59,1.09808,-98.0276,-1554.84
-56455.2,1,0.00130482,3,7,0,74857.7,-446.797,-2313,-1440.79,-1222.9,-1158.7,-1365.21,-1336.3,-1333.8,-2220.88,-1106.4,-2218.98,-1111.91,-1073.3,1.03325,0.896649,1.54175,0.199937,0.196284,29.9301,0.231504,63.1166,1.02692,0.312186,486.832,0.102099,0.728257,0.10841,0.987304,204.735,0.446116,2.00341,2.39223,3.94895,6.43141,5.24313,564.402,0.423285,0.0907753,1.50129,0.0598949,0.913824,19.0321,0.202716,0.00306984,4.57481,1.97498,57.621,0.45489,0.339027,0.990384,0.290372,0.153671,0.528365,0.152608,0.496446,0.0710601,0.421046,0.0772399,0.351919,0.033455,0.676775,0.0327097,0.606304,3.78589,0.0196323,4.24951,0.0155803,0.3217,0.0370001,0.249513,0.0294938,0.0950678,0.0179516,0.0740724,0.0142505,0.526619,3.15497,0.425976,2.6518,0,3.78589,0.0196323,0.00209248,0.00171401,4.24951,0.0155803,0.3217,0.0370001,0.249513,0.0294938,0.0950678,0.0179516,0.0740724,0.0142505,1.53848,0.0843141,0.548878,0.0307038,136.271,3.05144,0.0638005,0.341076,3.51109e-05,5.71717e-05,0.526619,3.15497,0.425976,2.6518,0.550379,0.00887876,0.550378,0.00887876,0.547391,0.00887876,0.546319,0.00887876,0.279233,0.00887876,-0.388825,0.0827673,-0.109592,0.0916461,-0.109592,0.0916461,0,-17.2981,2.50278,-14.8732,2.56463,5.51117,24.9196,-18.4315,3.45871,1.59002,0.0698907,136.515,0.551749,0.0964391,0.244595,0.396792,0.342715,4.2717,0.0204288,0.0885265,0.0138086,3.2346,3.24643,0.0178018,0.0309005,3.04853,0.0402676,0.0157519,0.52555,0.98472,0.15396,0.157115,0.0785671,0.0853088,0.0379353,0.0318452,0.404844,0.309204,0.530876,0.497921,0.373938,0.342983,0.682054,0.616935,0.55121,-0.386717,0.0076915,0.0783419,-4715.86,-4132.93,-120.897,0.213346,-3.92432,-745.94,-91.7386,-13783.7,-2281.05,-502.452,-111.371,-849.776,-291.082,-1341,-5857.75,-104.506,-98.303,-4478.37,-5833.22,1.54927,-1410.53,1.09656,-98.2123,-1546.03
-39192,0.866667,0.00189104,4,15,0,55700.6,-446.796,-2313.04,-1440.76,-1222.9,-1158.7,-1365.24,-1336.29,-1333.81,-2220.85,-1106.41,-2218.97,-1111.96,-1073.29,1.15739,0.896009,0.937673,0.200161,0.195975,29.8036,0.230508,62.5425,1.02896,0.308753,488.283,0.100558,0.724118,0.108542,0.980979,204.522,0.44545,1.9949,2.45628,4.04229,6.42443,5.22745,565.783,0.420427,0.0913967,1.51764,0.0602803,0.902367,19.1121,0.206694,0.00319609,4.55934,1.93967,54.427,0.274963,0.332484,0.970868,0.290272,0.152098,0.514207,0.152052,0.484877,0.0727488,0.413666,0.0785086,0.350403,0.0338392,0.674879,0.032395,0.6042,3.36365,0.0211058,4.0014,0.0160101,0.324928,0.0372893,0.252818,0.0301131,0.0937119,0.0177733,0.0704697,0.0145317,0.504678,2.72569,0.433928,2.70722,0,3.36365,0.0211058,0.000709853,0.00100884,4.0014,0.0160101,0.324928,0.0372893,0.252818,0.0301131,0.0937119,0.0177733,0.0704697,0.0145317,0.0104761,0.0500998,0.00285511,0.0184053,1.302,2.16822,0.0585837,0.29087,2.77662e-05,5.18917e-05,0.504678,2.72569,0.433928,2.70722,0.191742,0.0053106,0.191742,0.0053106,0.191742,0.0053106,0.191742,0.0053106,0.191742,0.0053106,-0.276843,0.0688334,-0.0851013,0.074144,-0.0851013,0.074144,0,-17.2177,2.48104,-14.7695,2.48167,5.5436,24.9304,-18.5428,3.15675,0.00961567,0.0762005,1.26407,0.481635,0.0897335,0.248073,0.379843,0.331879,3.9395,0.020811,0.0509443,0.0137379,2.2581,2.62407,0.0187092,0.029136,2.80135,0.0357058,0.0170282,0.249913,1.05035,0.147196,0.143047,0.0798955,0.0763387,0.0346044,0.035059,0.280506,0.306599,0.524306,0.483934,0.402294,0.324458,0.719414,0.569554,0.194215,-0.279337,0.00467073,0.0730638,-340.069,-2346.45,-132.447,-11.7139,-13.8316,-1861.29,-78.3382,-2662.84,-2223.84,-493.331,-107.43,-834.586,-295.956,-1279.33,-5702.12,-311.928,-92.7445,-3854.53,-5521.37,2.14138,-1388.52,1.03654,-95.9913,-1515.88
-34273.1,1,0.00201866,4,15,0,39205.3,-446.785,-2313.06,-1440.71,-1222.9,-1158.71,-1365.28,-1336.33,-1333.76,-2220.79,-1106.42,-2218.93,-1112.02,-1073.28,1.21375,0.913338,0.736292,0.199268,0.196194,30.2013,0.229494,61.3983,1.07609,0.308588,463.404,0.107898,0.769711,0.102996,0.949665,189.281,0.430172,1.96169,2.44573,4.59653,6.33,5.2725,562.025,0.423514,0.0918549,1.49311,0.0618727,0.915041,19.2517,0.214008,0.0034231,4.59479,1.8751,51.3672,0.216303,0.336237,0.929672,0.27982,0.144218,0.477243,0.135571,0.44683,0.0850026,0.411418,0.0809675,0.359397,0.0358213,0.656876,0.0331585,0.610785,3.16118,0.0246177,3.39031,0.0167606,0.333489,0.0390541,0.256792,0.0326367,0.0888282,0.0175812,0.0648235,0.0149124,0.448809,1.9775,0.452156,2.71343,0,3.16118,0.0246177,0.000460121,0.000875577,3.39031,0.0167606,0.333489,0.0390541,0.256792,0.0326367,0.0888282,0.0175812,0.0648235,0.0149124,0.0051431,0.0280223,0.00116137,0.00992892,0.306939,1.06377,0.0497705,0.207076,1.89458e-05,4.07226e-05,0.448809,1.9775,0.452156,2.71343,0.115045,0.00474195,0.115045,0.00474195,0.115045,0.00474195,0.115045,0.00474195,0.115045,0.00474195,-0.173024,0.0469106,-0.0579795,0.0516526,-0.0579795,0.0516526,0,-17.1946,2.56974,-14.6879,2.3547,5.59096,24.963,-18.6955,3.27543,0.0052725,0.0575,0.303514,0.463118,0.0866571,0.245546,0.429898,0.341097,3.52087,0.0261901,0.0270417,0.0149816,1.10224,1.80351,0.0171111,0.0346465,2.74926,0.042809,0.0160903,0.184586,0.976939,0.139901,0.137294,0.0888636,0.0800198,0.035989,0.0343147,0.29959,0.294521,0.508248,0.489205,0.373365,0.362238,0.633061,0.588676,0.104961,-0.170741,0.0064125,0.0380737,-55.1061,-1138.27,-134.335,-46.2011,-21.2718,-2831.49,-58.1205,-969.234,-2069.9,-460.077,-102.849,-801.284,-308.84,-1116.96,-5378.11,-671.454,-85.6246,-2704.58,-4867.17,2.74101,-1304.91,1.01935,-83.2973,-1465.8
-20395.4,1,0.0034863,4,15,0,34281,-446.78,-2313.18,-1440.52,-1222.89,-1158.73,-1365.34,-1336.65,-1333.54,-2220.59,-1106.46,-2218.88,-1112.22,-1073.27,1.07669,0.948881,0.79032,0.199753,0.1927,31.0513,0.233145,64.2832,1.2883,0.305774,398.84,0.169209,1.03931,0.0766006,0.897087,112.636,0.403216,1.98291,2.42742,5.37451,6.40952,5.2086,542.71,0.40967,0.0927101,1.5219,0.0655342,0.878084,17.735,0.226461,0.0037377,5.00068,1.69879,44.9104,0.186372,0.37894,0.710037,0.256001,0.10796,0.369353,0.0770292,0.260463,0.129826,0.376523,0.106705,0.375651,0.0482074,0.617385,0.0440356,0.637187,3.16616,0.0625588,1.76757,0.0187447,0.318283,0.0514422,0.283479,0.052776,0.0708216,0.01737,0.0497655,0.016179,0.257293,0.62583,0.643471,2.88654,0,3.16616,0.0625588,0.000611065,0.00272982,1.76757,0.0187447,0.318283,0.0514422,0.283479,0.052776,0.0708216,0.01737,0.0497655,0.016179,0.0256556,0.0441755,0.00634416,0.0125625,0.103678,0.0875918,0.026699,0.0612172,9.78595e-06,2.05487e-05,0.257293,0.62583,0.643471,2.88654,0.109876,0.0156851,0.109876,0.0156851,0.109876,0.0156851,0.109876,0.0156851,0.109876,0.0156851,-0.134081,0.0092956,-0.0242049,0.0249807,-0.0242049,0.0249807,0,-17.1985,3.10871,-14.3874,1.90729,5.7611,25.0111,-19.1336,3.36945,0.0255398,0.0506937,0.0998812,0.280949,0.0629699,0.288501,0.682025,0.330459,1.88115,0.0621468,0.0433304,0.0152837,0.0922193,0.644191,0.0165222,0.0559341,2.93753,0.0532554,0.0187619,0.130263,0.731657,0.110332,0.0799225,0.131283,0.105605,0.0448077,0.0448322,0.422101,0.265171,0.357362,0.242733,0.349791,0.355022,0.597006,0.651841,0.11281,-0.130591,0.0201112,0.011335,-44.3652,-796.27,-100.276,-150.164,-21.0641,-927.738,-12.5171,-246.42,-1414.79,-332.006,-76.0728,-543.526,-285.912,-585.235,-3617.44,-378.345,-64.9303,-274.832,-2860.18,3.35193,-859.492,-0.237528,-25.3964,-1347
-18373,1,0.00630863,2,3,0,20421.2,-446.789,-2313.18,-1440.5,-1222.88,-1158.74,-1365.33,-1336.65,-1333.48,-2220.61,-1106.45,-2218.88,-1112.25,-1073.28,1.04484,0.954406,0.807606,0.198042,0.191521,31.132,0.238686,64.3022,1.30614,0.305546,388.824,0.18792,1.1323,0.0715589,0.8845,103.525,0.403234,1.96877,2.4439,5.48708,6.4782,5.18192,541.381,0.401933,0.0908194,1.53238,0.0645805,0.866921,17.9721,0.21945,0.00378093,5.01443,1.67827,44.2343,0.180941,0.402208,0.67291,0.247722,0.106295,0.346668,0.068702,0.234176,0.135488,0.376115,0.113701,0.389034,0.052187,0.627493,0.0481977,0.63679,3.15972,0.0742521,1.55991,0.0198276,0.313632,0.0533473,0.297326,0.0575087,0.067838,0.0167065,0.0483076,0.0162029,0.230546,0.543043,0.672258,2.86865,0,3.15972,0.0742521,0.000654824,0.00350885,1.55991,0.0198276,0.313632,0.0533473,0.297326,0.0575087,0.067838,0.0167065,0.0483076,0.0162029,0.0388009,0.0733757,0.00975747,0.0203255,0.0926025,0.0672932,0.0236737,0.0524373,9.35998e-06,1.9939e-05,0.230546,0.543043,0.672258,2.86865,0.109774,0.0204636,0.109774,0.0204636,0.109774,0.0204636,0.109774,0.0204636,0.109774,0.0204636,-0.132965,0.00425829,-0.0231903,0.0247219,-0.0231903,0.0247219,0,-17.1853,3.17457,-14.4475,1.90524,5.79376,24.9929,-19.1348,3.25401,0.0404959,0.0506944,0.0970561,0.216045,0.0677914,0.282283,0.674627,0.333466,1.56829,0.0757097,0.073849,0.0172656,0.069125,0.516777,0.0173016,0.0556384,2.74445,0.0518494,0.0195734,0.177772,0.732433,0.111602,0.0705165,0.124426,0.109153,0.0495932,0.0444305,0.264524,0.241656,0.348147,0.238607,0.404991,0.388703,0.634825,0.652029,0.110355,-0.133307,0.0205918,0.00453965,-44.1643,-787.36,-86.9062,-168.384,-21.3331,-604.888,-9.13645,-198.259,-1300.17,-309.994,-64.5548,-515.027,-278.861,-502.608,-3331.78,-149.273,-64.5799,-163.842,-2649.34,4.92408,-789.633,-0.0420795,-20.0225,-1289.26
